freq,product,consom,unit,tax,currency,geo\TIME_PERIOD	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 
S,4100,4141903,GJ_GCV,X_VAT,PPS,SK	: 	14.0885 	14.0928 	14.4002 	15.8811 	16.3843 	15.0747 	15.4367 	17.4343 	17.2160 	16.7673 	16.6501 	17.4119 	18.8838 	18.9263 	19.1064 	18.3560 	18.2144 	17.1244 	16.8818 	12.5922 	13.2501 	12.5490 	13.4265 	12.7264 	13.6485 	13.0642 	13.5685 	11.4615 	11.5622 
S,4100,4141903,GJ_GCV,X_VAT,PPS,TR	: 	12.5823 	12.5409 	18.4289 	16.1252 	12.8702 	12.5777 	12.5740 	11.5402 	12.8410 	12.7743 	15.6009 	15.5708 	15.7202 	14.4870 	15.9048 	16.0750 	16.5849 	15.4783 	14.4965 	11.8735 	12.2651 	10.3610 	13.3643 	10.6110 	13.8659 	14.1244 	14.5125 	13.1779 	15.1811 
S,4100,4141903,GJ_GCV,X_VAT,PPS,UK	: 	7.1251 	9.5748 	10.9576 	10.3670 	9.9725 	9.3423 	8.9547 	9.3177 	11.1618 	11.0790 	11.6696 	11.9996 	12.3780 	12.1588 	12.5428 	12.1555 	12.0688 	11.3748 	10.6700 	9.7598 	9.7411 	9.8746 	10.5167 	9.9757 	9.8463 	9.5385 	: 	: 	: 
S,4100,4141903,KWH,I_TAX,EUR,AT	: 	0.0537 	0.0517 	0.0543 	0.0576 	0.0549 	0.0548 	0.0539 	0.0622 	0.0638 	0.0669 	0.0673 	0.0678 	0.0668 	0.0665 	0.0651 	0.0642 	0.0624 	0.0597 	0.0578 	0.0578 	0.0607 	0.0586 	0.0593 	0.0588 	0.0577 	0.0565 	0.0554 	0.0556 	0.0604 
S,4100,4141903,KWH,I_TAX,EUR,BA	: 	: 	: 	: 	: 	: 	: 	: 	0.0452 	0.0536 	0.0555 	0.0555 	0.0555 	0.0512 	0.0512 	0.0512 	0.0514 	0.0514 	0.0391 	0.0336 	0.0307 	0.0327 	0.0326 	0.0326 	0.0335 	0.0333 	0.0374 	0.0346 	0.0321 	0.0364 
S,4100,4141903,KWH,I_TAX,EUR,BE	: 	0.0449 	0.0548 	0.0685 	0.0563 	0.0470 	0.0483 	0.0538 	0.0586 	0.0663 	0.0629 	0.0686 	0.0612 	0.0601 	0.0584 	0.0561 	0.0519 	0.0515 	0.0494 	0.0458 	0.0471 	0.0487 	0.0486 	0.0546 	0.0496 	0.0470 	0.0440 	0.0414 	0.0423 	0.0640 
S,4100,4141903,KWH,I_TAX,EUR,BG	: 	0.0328 	0.0359 	0.0419 	0.0485 	0.0358 	0.0373 	0.0437 	0.0434 	0.0474 	0.0506 	0.0569 	0.0523 	0.0517 	0.0503 	0.0487 	0.0481 	0.0388 	0.0365 	0.0308 	0.0330 	0.0373 	0.0381 	0.0434 	0.0448 	0.0444 	0.0402 	0.0336 	0.0371 	0.0695 
S,4100,4141903,KWH,I_TAX,EUR,CZ	: 	0.0355 	0.0440 	0.0531 	0.0486 	0.0462 	0.0452 	0.0493 	0.0514 	0.0565 	0.0638 	0.0640 	0.0604 	0.0562 	0.0528 	0.0533 	0.0539 	0.0548 	0.0544 	0.0522 	0.0507 	0.0522 	0.0530 	0.0525 	0.0533 	0.0534 	0.0526 	0.0513 	0.0515 	0.0510 
S,4100,4141903,KWH,I_TAX,EUR,DE	: 	0.0580 	0.0589 	0.0696 	0.0589 	0.0524 	0.0518 	0.0561 	0.0567 	0.0603 	0.0607 	0.0618 	0.0625 	0.0641 	0.0631 	0.0634 	0.0633 	0.0630 	0.0610 	0.0587 	0.0553 	0.0547 	0.0544 	0.0550 	0.0579 	0.0528 	0.0537 	0.0533 	0.0585 	0.0595 
S,4100,4141903,KWH,I_TAX,EUR,DK	0.0815 	0.0885 	0.0959 	0.0979 	0.0803 	0.0851 	0.0954 	0.0965 	0.1031 	0.1029 	0.0980 	0.0955 	0.0993 	0.0977 	0.0908 	0.0878 	0.0837 	0.0801 	0.0756 	0.0777 	0.0799 	0.0802 	0.0859 	0.0869 	0.0762 	0.0725 	0.0740 	0.0715 	0.0839 	0.1224 
